advertising_id,recency,frequency,monetary
21aed24d-7c28-4996-b9df-9ee4bdc5dd1c,1,34,
681e1624-4036-4a33-963a-c2ad00ec3b81,1,26,
2e33b863-1355-4dfa-ab29-7896e124109a,1,26,
14621dd7-d16a-40f7-9cad-42d9a4015d0f,1,40,
f376677b-d574-4ce0-afa4-6faf7197aa48,1,37,
8d7f8a6b-d209-4f3c-afe2-20998c21cded,1,59,
4ce75077-2725-4243-8557-019632f4f5bf,1,67,
6a6e008f-b012-445c-8615-5fd57da9b86a,1,23,
8c724f82-17d2-4f3c-92a9-06600781a1f2,1,38,
3035c291-b3ed-42dc-b295-58b1dc79c862,1,34,
2be16321-4325-4db3-a97f-f4c27d711170,1,23,
2f44a240-5e7e-445f-a0de-7af782600e8c,1,29,
ac4167f2-d5bb-4b28-a9aa-7d996b3414b9,1,25,
0a977ac1-0b24-4b16-88d9-60a9918419b7,1,29,
4016b8f5-5b39-4933-932f-e419aa7b3769,1,27,
804c74e2-a97e-4b74-a034-f6c0e4243ff1,1,23,
547a29fe-3fa6-4d96-afb6-1982b926860d,1,75,
d4af4887-9bb7-449f-8b95-51d2bf98c046,1,28,
79fd5d62-0207-47ac-bdbb-c9438b670ef1,1,35,
72a229d6-4963-4622-8913-460d806c567d,1,27,
629c26af-3de4-45d5-bf90-5f6ed37e712f,1,34,
c5190706-2aaa-4282-910e-081f685d7991,1,33,
193385d3-6cd6-47c9-9e74-27ac140f4c4e,1,33,
60a8273d-fe8d-4011-8266-4a141acd4313,1,27,
76cb1db5-2b29-417f-9643-fefa6746acb0,1,26,
00cb375c-f162-4f9b-84a5-e84bfb70f754,1,24,
909836ac-a176-46f6-b80e-d3dac50f8a96,1,56,
6fc86711-6e05-4dee-bc60-613b11537017,1,31,
c910c713-484c-4261-8d24-70e6a7fbeb9b,1,597,0.096358
6a0239d9-43a7-473b-8094-b5ad3fef59e7,1,127,2.265911
b85c6727-22de-4145-898a-e11b4d126481,1,57,
3a637e26-26b8-4cdc-9749-ecd3903b8cc8,1,67,
